"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2023","Liquid","Saeul","Saeul-2","H-3","1.960000e+4"
"2015","Atmospheric","Kozloduy","Auxiliary building","Alpha","1.409000e-6"
"2017","Atmospheric","Ignalina","Aggregated Record","C-14","1.150000e+0"
"2017","Atmospheric","Hanul","Hanul 2","C-14","1.450000e+2"
"2016","Atmospheric","Callaway","Aggregated Record","C-14","1.172000e+1"
"2012","Atmospheric","San Onofre","Aggregated Record","Beta/Gamma","3.765069e-4"
"2014","Liquid","Atucha","Atucha 2","Alpha","1.350000e-6"
"2007","Atmospheric","Loviisa","Loviisa 1","Beta/Gamma","2.237700e-3"
"1986","Atmospheric","Ikata","Aggregated Record","Noble Gases","1.900000e+1"
"2005","Atmospheric","Halden","OECD Halden reactor project","C-14","0.000000e+0"
"2011","Liquid","Sendai","Aggregated Record","H-3","3.700000e+4"
"2019","Liquid","South Ukraine","Drain valve 2","Beta/Gamma","0.000000e+0"
"2023","Liquid","Bruce","Bruce 1","H-3","2.600000e+5"
"2010","Liquid","Nine Mile Point","Nine Mile Point 2","H-3","4.820000e+0"
"2009","Atmospheric","Heysham","Heysham 2 (Unit B)","C-14","1.400000e+3"
"2010","Atmospheric","Temelin","Temelin-2","Beta/Gamma","2.740000e-4"
"2011","Atmospheric","Trillo","Aggregated Record","H-3","5.860000e+2"
"2021","Liquid","Neckarwestheim","Neckarwestheim 2 (GKN-2)","Beta/Gamma","0.000000e+0"
"2017","Atmospheric","Point Lepreau","Aggregated Record","Particulates","2.200000e-3"
"2018","Atmospheric","Kozloduy","Kozloduy-5","Noble Gases","2.911440e+2"
"2023","Atmospheric","Hanul","Shin-Hanul 2","Noble Gases","1.486000e+1"
"2015","Atmospheric","Cofrentes","Aggregated Record","Noble Gases","1.740000e+4"
"2014","Atmospheric","Atucha","Atucha 1","C-14","5.400000e+2"
"2017","Liquid","Zaporozhye","Drain valve 1","Particulates","0.000000e+0"
"2007","Atmospheric","Bruce","Bruce A 1-4","H-3","9.300000e+6"
"2021","Atmospheric","Rheinsberg","Aggregated Record","Alpha","6.400000e-5"
"2007","Liquid","South Ukraine","Drain valve 2","Other","0.000000e+0"
"2022","Liquid","Hanul","Hanul 5","H-3","3.960000e+3"
"2018","Atmospheric","Torness","Aggregated Record","Particulates","1.040000e-2"
"2025","Atmospheric","Point Lepreau","Aggregated Record","Iodine","4.690000e-2"
"2020","Liquid","Gundremmingen","Aggregated Record","Beta/Gamma","1.743420e-1"
"2017","Liquid","Civaux","Aggregated Record","H-3","5.130000e+4"
"2020","Atmospheric","Hanbit","Hanbit 6","C-14","2.444000e+1"
"2012","Atmospheric","Kori","Kori 3","C-14","9.080000e+1"
"2016","Liquid","Beznau","Aggregated Record","H-3","1.942758e+3"
"1986","Atmospheric","Calvert Cliffs","Aggregated Record","Beta/Gamma","7.400000e-3"
"2020","Liquid","Kori","Kori 1","C-14","0.000000e+0"
"1989","Atmospheric","Maanshan","Aggregated Record","Noble Gases","1.760000e+3"
"2016","Liquid","Rovno","Rovno-3","H-3","0.000000e+0"
